id,sciName,mainCommonName,otherCommonNames,majorType,majorSubtype,order,family,subfamily,tribe,genus,specificEpithet,authoritySpeciesAuthor,authoritySpeciesYear,authoritySpeciesFullcitation,authoritySpeciesLink,holotypeVoucher,taxonomyNotes,taxonomyNotesCitation,biogeographicRealm,MSW3_matchtype,MSW3_sciName,extinct,domestic,flagged,newSppSinceMSW3,
31,Acomys_cineraceus,Gray Spiny Mouse,Heuglin’s Spiny Mouse,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,cineraceus,Heuglin,1877,,,,NA,NA,Afrotropic,sciname match,Acomys_cineraceus,0,0,0,0,
32,Acomys_dimidiatus,Arabian Spiny Mouse,Eastern Spiny Mouse,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,dimidiatus,Cretzschmar,1826,,,,NA,NA,"Afrotropic, Palearctic",sciname match,Acomys_dimidiatus,0,0,0,0,
33,Acomys_ignitus,Fiery Spiny Mouse,,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,ignitus,Dollman,1910,,,,NA,NA,Afrotropic,sciname match,Acomys_ignitus,0,0,0,0,
34,Acomys_johannis,John’s Spiny Mouse,,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,johannis,Thomas,1912,,,,NA,NA,Afrotropic,sciname match,Acomys_johannis,0,0,0,0,
35,Acomys_kempi,Kemp’s Spiny Mouse,,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,kempi,Dollman,1911,,,,NA,NA,Afrotropic,sciname match,Acomys_kempi,0,0,0,0,
36,Acomys_louisae,Louise’s Spiny Mouse,,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,louisae,Thomas,1896,,,,NA,NA,Afrotropic,sciname match,Acomys_louisae,0,0,0,0,
37,Acomys_minous,Crete Spiny Mouse,,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,minous,Bate,1905,,,,NA,NA,Palearctic,sciname match,Acomys_minous,0,0,0,0,
38,Acomys_mullah,Mullah Spiny Mouse,,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,mullah,Thomas,1904,,,,NA,NA,Afrotropic,sciname match,Acomys_mullah,0,0,0,0,
39,Acomys_muzei,Muze Spiny Mouse,Eastern Arc Spiny Mouse,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,muzei,"W. Verheyen, Hulselmans, Wendelen, Leirs, Corti, Backeljau, & E. Verheyen",2011,,,,NA,NA,Afrotropic,unmatched,NA,0,0,0,1,
40,Acomys_nesiotes,Cyprus Spiny Mouse,,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,nesiotes,Bate,1903,,,,NA,NA,Palearctic,sciname match,Acomys_nesiotes,0,0,0,0,
